TimeStep,T_avancement,T_affichage,T_total
157,0.00962801,0.0262858,0.0359142
158,0.00912392,0.0268261,0.0359504
159,0.00912856,0.0270667,0.0361954
160,0.00871056,0.0315506,0.0402949
161,0.00974238,0.0294954,0.039238
162,0.00970106,0.0267097,0.0364111
163,0.00960065,0.0268257,0.0364265
164,0.00933017,0.0274806,0.0368112
165,0.0100133,0.0270582,0.0370718
166,0.0101798,0.027735,0.0379152
167,0.0111027,0.0303595,0.0414624
168,0.010678,0.0262153,0.0368934
169,0.0100792,0.0266156,0.0367245
170,0.00980362,0.0262697,0.0360738
171,0.00962877,0.0269113,0.0365404
172,0.00994018,0.0274188,0.0373597
173,0.0113889,0.0261606,0.03755
174,0.00981665,0.0270032,0.0368207
175,0.00998871,0.0265714,0.0365603
176,0.0098895,0.0291722,0.0390624
177,0.0108865,0.0267098,0.0375964
178,0.010875,0.026323,0.0371985
179,0.0104456,0.0268822,0.037328
180,0.0151473,0.0316457,0.0467932
181,0.0113392,0.0267556,0.0380953
182,0.0502808,0.0258354,0.0761166
183,0.0115956,0.0262454,0.0378412
184,0.0123347,0.0260213,0.0383564
185,0.0132838,0.0263031,0.0395873
186,0.0119827,0.0261826,0.0381657
187,0.0121277,0.0265533,0.0386814
188,0.0139764,0.0261782,0.0401548
189,0.0121334,0.0265867,0.0387203
190,0.0124692,0.0268483,0.0393176
191,0.0120623,0.0267328,0.0387955
192,0.0148624,0.0351274,0.0500209
193,0.0130102,0.0292816,0.0422922
194,0.0130207,0.0271483,0.0401693
195,0.0133216,0.0261119,0.0394336
196,0.0133699,0.0268677,0.0402377
197,0.0130875,0.0264354,0.0395234
198,0.0129829,0.026306,0.0392892
199,0.0133761,0.0261566,0.0395333
200,0.0132934,0.0262786,0.0395727
201,0.0137617,0.0265668,0.0403292
202,0.0131157,0.0263423,0.0394585
203,0.0137972,0.0266368,0.0404345
204,0.0171143,0.0282564,0.0453713
205,0.01399,0.0268442,0.0408343
206,0.0143553,0.0261548,0.0405105
207,0.0144707,0.0261681,0.0406391
208,0.0146285,0.0264301,0.0410593
209,0.0142271,0.0259167,0.0401438
210,0.0144921,0.0261838,0.0406762
211,0.0142869,0.026111,0.0403984
212,0.0145505,0.0267799,0.0413306
213,0.0142266,0.026535,0.040762
214,0.0143049,0.0268997,0.0412048
215,0.014396,0.0262663,0.0406623
216,0.0189474,0.0311879,0.0501358
217,0.0152964,0.0266827,0.0419793
218,0.0153324,0.0267347,0.0420675
219,0.0155089,0.0268115,0.0423206
220,0.0155169,0.0263197,0.0418371
221,0.0154642,0.0263248,0.0417894
222,0.0157696,0.026301,0.0420709
223,0.016091,0.0265191,0.0426104
224,0.0159151,0.0315165,0.0474775
225,0.0163488,0.0265843,0.0429335
226,0.0172361,0.0268045,0.0440411
227,0.0169638,0.0293119,0.0462759
228,0.0160142,0.0265761,0.0425905
229,0.0164172,0.0262691,0.0426867
230,0.0163648,0.0263354,0.0427006
231,0.016865,0.0263855,0.0432508
232,0.0173106,0.026196,0.0435069
233,0.0173551,0.0260311,0.0433865
234,0.0170159,0.0263144,0.0433304
235,0.0167774,0.0259828,0.0427606
